"","state","zip_code","kw_potential_for_median_house","yearly_solar_kwh_produced","estimated_avg_carbon_offset","estimated_percent_of_houses_qualified","num_customers","average_installation_cost","avg_house_price","average_monthly_consumption","price_per_kwh","impact","economical","savings","naive_model"
"3343","New York",10566,6.25,6926.87049,33368.7289,74.793323321845,3654,11766,649000,599,0.19,0.00684946847317694,0.343782910609943,-0.0187953782799257,0.116344328783185
"3344","Texas",76119,9.5,12737.79723,151532.8226,85.7294752435362,11481,10967,336400,1094,0.12,0.00863665182348056,0.340922950742248,-0.0177383455226566,0.116338808912888
"3345","Connecticut",6051,7.25,8330.802997,48949.50331,85.2610903229119,5207,11500,424900,713,0.22,0.00618526642007578,0.344172821563788,-0.0187683806672652,0.116257625990425
"3346","Wisconsin",53110,7.25,7968.883746,112418.5376,85.7458774412333,5363,13009,329000,690,0.15,0.0137140417397137,0.335545032873,-0.0176789096447425,0.116254280377539
"3347","New Jersey",7601,6.75,7896.556445,98742.43199,81.8038407091054,5473,10745,485900,687,0.16,0.0123723802290909,0.340219558309223,-0.0210593886120974,0.116237586217275
"3348","Wisconsin",53172,7.25,8005.599243,85092.9824,80.9280319599859,5942,13009,329000,690,0.15,0.00992683264070889,0.337157246242195,-0.0155925835666945,0.116223192189384
"3349","Missouri",64064,9.75,12122.82534,83217.67221,96.3040416273649,5853,10701,243500,1039,0.11,0.00828211214626876,0.337538922317569,-0.0143837824866032,0.116204174102647
"3350","Washington",98039,12,11392.67742,4125.40472,84.8945606644861,1049,10390,605400,984,0.1,0.00259872179674604,0.34455471544352,-0.0157335621242113,0.116198081655917
"3351","Connecticut",6878,7.5,8344.87998,8236.490097,65.4019724927448,1716,11500,424900,713,0.22,0.00411701672942094,0.344771015840836,-0.0175951759972608,0.116153548083412
"3352","Nebraska",68005,9.25,11733.34252,82120.46731,95.1699274511755,7632,11707,280400,1005,0.11,0.00634252070204096,0.338554904355091,-0.013612152583686,0.116150889046085
"3353","Rhode Island",2888,6,6804.235474,46994.15019,72.6797742547609,5941,11988,455500,585,0.22,0.00610547222289217,0.342839029774181,-0.0179822586646948,0.116037632813344
"3354","Pennsylvania",15238,9,9839.982977,110471.9503,96.8714461941391,4087,11411,268100,851,0.14,0.0156530935734741,0.334862800299545,-0.0197302398528115,0.115975719389148
"3355","New York",11210,6,6935.768823,49231.12686,86.7992734013319,6965,11766,649000,599,0.19,0.00456826351114156,0.344233005444994,-0.0181549009367264,0.115926884761808
"3356","South Carolina",29424,9.25,12434.63049,578.0978214,94.7845805073707,19,12210,360800,1078,0.13,0.0180077154996279,0.337187083882424,-0.0246912335770463,0.115876817325858
"3357","Connecticut",6770,7.25,8332.888257,51140.38344,77.4780881937402,7697,11500,424900,713,0.22,0.00481074324731101,0.344261433633445,-0.0185945908168283,0.115867708650423
